stop_id,ward
2679,5
4758,5
3420,4
17,8
1060,5
4294,3
2039,3
1288,3
4219,5
4640,1
4462,8
1333,1
550,3
4069,5
1744,6
440,3
3997,3
3114,1
4913,3
4258,6
2555,7
2375,2
2849,4
3647,7
1200,7
532,2
1185,1
2334,6
4019,8
2965,2
268,5
3356,2
1348,4
4933,6
3711,1
1595,8
2343,6
2041,4
3311,2
2358,6
2058,5
632,5
3073,3
4424,3
4768,2
3775,3
1532,4
2187,2
3117,6
3064,1
4005,8
1609,3
4452,4
3126,1
1555,3
4064,4
2730,2
73,7
4793,4
4730,6
3048,6
666,6
4102,3
980,3
1337,7
3278,8
1976,6
2404,8
577,4
1562,2
4206,2
2769,4
2104,4
1252,7
334,5
614,8
3661,5
4678,7
3851,5
2016,2
1006,2
987,3
4853,1
4647,3
2147,5
3967,8
725,4
513,4
1245,5
224,6
130,1
3524,3
1226,1
1697,1
2967,8
942,4
94,8
4279,4
3480,4
3476,4
3704,8
2925,5
3592,5
327,6
4817,1
651,1
557,7
4272,1
2652,8
1374,4
4889,7
2916,2
3536,2
4677,3
1501,4
4956,2
3255,7
3212,1
2215,4
471,7
3618,6
3848,6
2394,4
3604,2
4895,3
1876,1
872,5
425,5
279,3
998,4
2185,5
231,5
882,6
2178,6
2435,2
3860,1
4597,5
1877,1
3094,1
351,5
1050,1
1334,7
4832,7
3831,7
1587,7
3798,2
989,7
495,4
479,8
2669,3
2667,8
53,2
3516,5
4339,2
1542,5
4619,4
398,2
3740,7
2527,3
657,6
1023,3
955,2
3491,2
2347,7
2700,7
2496,8
3530,1
1786,5
40,3
4799,7
1357,2
2338,8
2625,1
3766,7
216,3
4771,4
1897,8
2633,3
2681,6
4340,8
3059,7
3280,8
4518,6
4573,2
2645,5
4307,3
1147,6
3392,8
3190,3
3297,6
182,6
3563,2
4570,4
3689,2
266,2
4986,4
3100,1
1307,6
3120,2
2155,7
2627,7
360,4
3760,8
2736,7
4016,2
3432,8
1956,3
3175,1
192,6
3449,3
616,3
3871,3
4477,1
1564,4
948,6
4912,4
2651,5
4445,2
879,1
4849,8
4511,7
3902,3
1935,5
3639,4
788,1
3337,1
2658,1
436,1
4300,5
318,8
1067,6
163,6
1163,7
3116,7
4845,1
4720,4
429,2
2121,3
2734,4
2917,3
4263,7
1954,6
883,7
3007,7
333,7
3348,7
4319,6
3394,3
3771,7
2257,3
4944,3
3340,4
2174,5
2538,4
4893,6
3389,3
2352,1
2945,1
1026,4
1797,6
4497,6
1381,2
1140,3
4191,4
3576,8
3788,7
2688,4
697,8
3270,1
506,6
3269,6
4877,3
4372,5
1863,1
3112,2
1008,8
2240,7
950,1
4131,8
4957,7
1522,7
4499,6
3985,4
3145,4
1941,3
2717,2
4,8
3240,5
2333,2
428,1
2714,1
2997,8
2297,2
728,2
4025,4
2306,8
4667,6
4706,7
1829,6
2008,2
1078,6
4050,5
97,7
430,8
4532,5
2703,1
3468,8
4476,6
1721,3
4718,2
514,8
4470,4
1519,7
70,1
1731,7
2684,7
834,5
2805,8
2869,6
4642,5
4156,1
457,2
2318,8
1959,5
4748,3
691,2
2588,4
2009,2
3577,7
2991,2
3316,4
3499,7
2541,4
4164,1
3191,7
2159,5
2635,1
3961,4
781,7
870,1
1036,5
125,3
2793,7
4293,5
1431,6
4087,2
4655,1
1923,5
2817,4
4937,5
1713,1
403,6
304,4
2143,3
3347,7
4897,7
3453,6
4048,7
3824,8
4745,6
2594,5
4637,2
2245,2
3551,6
1544,3
1804,7
2676,7
2018,6
2865,3
4311,5
4435,1
13,7
1371,2
3335,4
2745,5
1087,1
161,2
4115,8
2443,4
3893,8
4841,7
1469,8
215,3
4108,6
3457,4
292,4
3758,2
1755,5
2941,6
2142,7
2643,5
4088,7
4223,4
2229,6
1344,1
376,2
3379,7
4548,7
4397,7
2026,5
4031,2
3411,7
790,5
2288,3
1435,2
2812,5
828,2
2224,2
3829,8
271,7
3068,7
4486,1
1446,5
4045,8
2671,2
3448,1
2558,2
2617,6
2034,1
348,6
1496,6
1488,3
2420,6
2548,3
772,1
2844,3
4840,5
3153,8
3047,5
4657,4
1322,3
3799,4
1848,2
1151,5
3606,2
2893,5
1638,7
3535,1
3590,4
4236,6
2804,5
4489,3
784,1
4349,6
57,3
4427,6
1338,3
4625,2
4723,8
533,1
2182,5
3218,2
1065,5
3090,8
542,2
3813,5
2073,5
3417,4
4862,3
843,6
2887,4
3730,3
4894,3
4683,4
704,4
1120,8
2361,7
3836,1
644,7
362,6
1836,6
2913,3
4648,2
2831,5
2666,2
485,5
3680,2
1463,2
1047,7
1184,4
2128,2
1074,2
1775,4
4938,5
1518,7
2876,7
4970,2
2559,3
1946,3
852,1
3942,4
346,1
3274,2
50,7
1588,1
4985,8
2613,8
3807,8
1415,1
2707,2
214,6
150,3
956,2
1283,3
3178,1
3184,1
783,5
3407,7
1125,2
3913,4
460,2
5000,4
377,8
2638,7
4220,4
44,2
2469,1
4387,2
2259,5
1387,8
115,7
2055,6
3414,4
3966,4
1457,6
4600,6
126,3
1591,3
4162,6
3547,6
1633,4
4310,4
1466,8
4669,8
4110,3
4903,5
2393,5
4668,6
2051,8
3931,4
3187,2
4746,6
3376,8
4440,3
4676,2
3721,2
3408,7
1195,2
4735,4
1487,4
1405,6
2777,1
4829,3
329,2
3973,6
1686,7
2250,2
1870,7
673,8
1569,6
3421,5
695,2
2193,6
4322,5
1550,4
3657,3
1467,8
1423,8
387,7
1336,2
1789,4
2807,5
815,4
2195,6
4905,1
2563,4
1097,2
511,2
624,4
4095,7
1573,2
3368,7
4362,1
1948,8
111,1
2351,2
1083,7
937,3
984,8
407,1
99,7
2970,7
1110,5
1839,3
1777,7
4441,7
3053,5
3160,2
1553,3
4921,1
3405,5
3281,5
2835,7
2261,3
1867,7
1294,2
1354,3
742,4
3230,4
1947,2
2583,3
109,5
4586,2
2809,1
2929,6
3616,6
2673,6
914,7
1277,1
4239,6
4900,2
3970,5
1538,2
909,4
681,5
3177,5
1612,4
3747,5
908,4
4998,8
3842,7
2074,5
1355,1
1524,4
3484,4
3521,6
4195,4
4473,8
4457,3
2900,2
2649,1
454,1
612,8
4659,2
1015,2
3694,6
1429,4
3635,4
2278,7
509,8
2957,6
4878,2
22,1
1489,4
4660,1
547,7
3292,3
4892,7
1080,4
4126,4
2641,6
4432,4
3474,8
4077,8
865,3
3279,7
660,7
2397,7
4907,2
3582,3
957,3
1988,2
1817,5
3556,8
2495,7
2341,2
1155,6
3194,8
2330,1
4375,6
4274,6
1515,8
1039,8
2596,8
2609,1
1708,5
4918,4
114,4
3224,6
869,4
4922,4
1053,1
239,6
2220,5
822,3
1365,8
222,7
2212,7
3566,5
4987,1
1094,3
3003,3
4015,6
4635,8
2821,4
3794,7
14,6
2767,2
556,5
1377,2
1121,1
4939,4
4618,5
3493,8
593,1
3978,5
3086,7
4255,8
2718,4
2366,2
3010,4
3969,6
1011,3
2877,7
4466,2
988,5
1599,3
3926,3
1048,5
2898,1
2989,6
3987,3
4380,5
1661,1
4369,2
11,8
4142,2
4945,3
1663,3
1536,7
4423,4
1456,7
692,2
2927,7
1349,1
1699,2
2705,6
3995,8
1652,7
41,6
1634,7
4502,5
235,2
1124,7
1541,6
2209,8
1503,3
3446,8
54,6
431,5
2130,2
3543,5
3489,7
1081,1
2984,3
2838,8
662,6
1611,3
2650,8
4971,5
1703,1
4329,4
3558,5
3733,4
3841,5
1835,7
4227,2
4264,8
1082,6
2988,8
4675,7
442,7
3659,7
4686,3
2371,3
4169,1
2874,1
3699,4
51,2
1263,2
64,8
4981,6
2912,8
2433,8
260,4
3789,8
1995,7
4525,7
1505,4
1159,7
47,4
3424,3
2107,7
2484,5
4843,8
3898,2
1441,6
1994,6
3359,8
561,1
4149,8
2286,7
759,7
1780,2
4828,3
2808,7
147,1
3349,8
2145,3
2742,5
162,8
1626,3
1164,5
1996,6
1128,8
1114,3
763,3
1394,7
2509,1
3188,4
3339,3
3822,5
4472,8
3173,2
3927,3
4192,4
2099,4
1462,3
4143,8
8,3
3515,1
1854,5
4654,3
4494,1
1852,1
675,5
2061,6
154,1
1473,8
405,8
2445,4
4084,1
1215,6
289,4
299,2
818,3
4651,4
3490,6
2884,5
2199,8
3109,4
2453,2
335,5
4673,5
654,4
4688,8
3671,4
3210,1
4175,3
4804,1
3879,8
3897,5
4863,3
3,1
1859,1
1901,4
3249,8
395,8
492,6
2247,8
4551,4
3069,3
123,8
4603,4
1212,2
1662,3
3213,3
2829,4
3365,7
2581,5
3238,6
2285,5
2903,6
402,8
1692,8
3655,6
4299,1
3957,6
4345,7
2025,6
4129,4
4578,3
4722,1
3877,1
4652,8
2408,5
4161,4
4876,7
2153,5
4428,1
683,1
4361,5
3593,5
4197,4
554,6
935,5
1284,3
686,1
2664,2
4560,1
3207,1
3983,1
721,8
2505,8
3791,1
4130,2
920,7
649,8
4127,1
3134,3
2626,4
2451,8
1021,5
3705,7
2373,8
4100,1
995,6
1531,7
3569,3
3544,5
1335,5
284,1
1012,7
2223,8
581,7
2054,1
583,7
1865,1
519,5
4479,6
1393,5
812,4
459,8
4796,1
4314,1
4974,2
1685,8
590,4
1565,7
4914,2
2629,6
2268,6
997,2
1860,3
4484,8
1823,1
87,7
305,7
4983,2
4743,1
4465,8
829,7
1179,5
118,8
55,5
3603,2
2584,7
2752,3
2743,8
656,5
3353,4
2518,7
159,2
4599,8
2753,4
3227,1
2858,3
1115,6
170,7
4639,7
889,4
4887,2
1516,3
3739,2
1738,4
4898,1
565,2
4966,2
2312,3
3298,2
4975,6
2574,1
4247,2
3595,6
559,7
4752,1
3778,5
723,2
853,5
4716,4
4801,3
4732,8
2670,8
4521,7
4000,2
2457,8
2411,5
1680,4
779,1
4051,4
3770,8
2611,7
3996,7
2460,6
128,7
67,5
4207,8
2701,4
2561,5
138,2
3859,8
4150,5
667,2
4547,5
2438,3
3613,2
1219,2
4980,8
1929,4
2639,5
1499,1
3935,3
1788,8
3451,4
4415,5
2042,7
4504,2
1816,5
4190,3
3095,1
23,3
1077,4
179,2
775,7
1287,7
1679,1
2986,3
4760,6
3908,8
2275,3
3943,1
4750,1
1154,3
3341,6
2836,7
75,1
3358,2
3258,8
1905,5
2465,6
4325,5
3673,8
1172,4
1513,1
4788,8
4692,7
1260,3
2922,2
4469,6
4630,5
633,6
1577,6
2949,6
349,8
3796,6
4398,6
2918,4
703,1
1814,7
4805,1
887,4
765,1
3812,4
913,4
3507,8
3498,4
232,5
2784,1
1674,6
2914,5
2439,2
385,3
1347,8
1261,3
1900,5
1756,3
2751,8
116,3
2194,1
3763,1
766,1
2920,2
1130,2
1170,5
3750,1
1378,4
2600,5
4649,5
2520,8
1253,7
819,8
227,3
2780,6
2771,4
2105,6
3372,3
203,7
3929,8
4471,7
3485,1
177,5
881,6
3781,2
4972,6
1590,8
1545,5
83,3
3895,7
3827,7
3081,8
464,4
2310,4
1828,7
4982,1
3755,7
1177,6
400,1
1041,7
480,6
4885,6
1256,7
945,8
3108,8
2715,2
4779,4
2575,3
1559,7
350,5
4335,3
1771,2
3724,4
4781,4
1173,4
1276,2
237,8
2653,5
3802,8
4068,3
2511,4
4146,6
2531,8
4711,7
3677,5
135,1
4698,1
3601,1
15,5
716,2
1285,3
3905,7
1476,6
2748,3
4874,6
4251,1
3198,4
2201,6
2392,5
685,1
3653,6
3546,1
4085,7
158,8
974,3
4133,3
3548,2
139,3
93,1
2685,3
2902,7
424,4
1482,5
1888,8
4057,1
1730,7
4705,4
3080,4
1068,8
1303,7
1653,5
4198,7
302,1
2592,1
3440,7
3656,5
1585,7
2758,1
4481,8
2125,6
3562,7
1568,6
3748,3
4233,4
978,4
3079,8
2853,4
1133,5
1459,8
638,5
122,2
543,4
1218,6
2282,3
3037,2
4382,5
2535,1
132,4
4581,7
4968,6
4436,8
4650,5
1783,7
2083,4
888,2
3375,3
438,8
741,6
444,6
3039,1
3678,4
4147,6
1224,1
3992,2
4166,5
1420,8
2646,4
4704,3
3228,4
4588,6
486,6
963,7
2580,8
1724,2
4074,4
1665,7
3264,7
752,8
4595,4
1088,2
1296,7
626,8
2958,1
1735,8
1918,4
620,8
4883,5
433,5
3832,8
1054,8
4244,3
2598,2
4992,2
3981,2
724,6
2712,6
868,1
1656,4
2360,6
3951,1
4671,8
896,7
79,1
2946,7
244,3
3557,2
2475,7
2368,1
1727,1
1604,3
753,1
3225,8
2735,6
2683,3
1169,2
568,1
4662,5
1035,8
1784,6
523,7
4976,8
1401,6
2167,6
2137,3
3084,6
3422,7
397,8
4674,6
2833,4
4186,2
1575,5
1126,7
3571,7
168,4
2911,6
2935,1
2162,2
2119,5
2263,2
551,4
42,6
2256,5
1879,5
3018,6
3302,4
2088,1
855,1
1760,2
355,5
808,2
3234,2
4924,8
777,5
1669,1
3284,3
3005,3
3838,6
4160,5
1136,8
1914,2
3419,8
2192,3
3936,6
3811,7
4030,2
2695,1
4082,7
860,6
4090,3
3488,5
944,6
3250,4
1728,5
4135,7
4766,5
3708,6
4404,4
4786,7
3251,5
1474,7
4915,8
4888,3
3125,2
4453,7
3363,4
4516,1
9,7
1751,7
3737,8
1657,3
992,2
3369,5
4209,1
3561,6
3719,7
2706,8
2471,8
650,4
3398,1
1454,7
4955,3
373,3
4967,5
3139,8
4561,3
4621,2
4449,7
229,7
623,3
588,8
4920,7
2426,4
2304,1
3868,2
3993,5
1369,7
4410,6
1682,6
2002,2
4316,4
3304,8
4026,3
2052,1
529,3
2971,3
1598,8
404,2
794,3
545,3
1690,5
1490,6
915,4
2319,8
4203,7
2246,3
1698,8
20,7
2001,6
4582,2
1376,4
91,2
3382,6
368,7
1269,3
639,6
1998,5
3215,2
1318,2
930,1
92,1
2111,2
2329,5
3830,7
2466,8
1873,2
2017,6
3199,6
3371,1
4613,2
2006,8
4926,8
4403,7
2,6
598,8
3028,2
4270,6
6,2
95,2
4510,8
1734,1
4544,3
2276,8
688,8
100,5
3950,5
3925,2
90,8
2095,1
378,3
2803,2
3434,5
1709,2
1904,4
3670,3
27,3
1448,6
4388,8
193,1
874,8
1796,7
501,1
3328,8
862,5
2503,4
939,5
2872,7
1875,2
3806,8
1353,5
2136,4
2324,7
3542,7
314,5
149,4
613,5
4747,1
2962,2
2214,3
1291,2
553,8
4347,2
1822,5
3800,1
2560,5
2081,7
906,3
1778,5
1607,5
1880,6
1452,1
4341,5
1290,7
1188,3
3033,2
4204,5
2101,6
3387,2
178,3
380,7
1370,2
2813,5
3137,5
3968,4
3837,3
1062,5
1810,6
3208,4
4542,8
1259,3
540,4
4872,4
3948,7
571,6
2815,5
144,2
2089,1
4864,1
131,4
3331,1
3834,4
3955,8
2615,3
4923,5
1981,3
2587,7
3320,8
3984,1
1554,1
2985,4
4292,1
4313,6
2794,8
1279,3
2741,2
4179,7
1556,5
3138,1
2589,8
1317,2
3062,6
4819,3
4709,1
242,8
3911,6
2573,2
1241,3
388,1
2444,1
3195,6
2749,8
2608,4
4508,6
3287,1
2847,6
3885,2
456,5
4155,6
2597,4
2110,5
4631,3
1767,4
2266,3
2494,1
4450,7
786,8
2732,1
4094,7
2267,1
2642,1
1614,4
3899,3
4321,3
406,6
1896,8
4358,2
594,7
2424,5
1356,6
2954,8
3469,4
4128,1
3301,1
927,7
1925,5
1723,4
2204,6
4916,3
859,1
4194,5
3183,7
2141,1
1958,6
1493,6
1748,7
1444,5
4562,5
563,5
3621,4
3435,8
2534,2
4844,8
2811,2
2228,3
3425,6
1693,8
4012,6
2084,8
1096,2
3101,4
4180,2
4753,2
269,5
2488,3
1363,8
3883,1
1539,6
2014,8
2513,4
599,7
272,7
4719,4
1129,6
3742,5
3587,5
4443,4
4742,1
1116,8
1732,1
1510,3
3056,4
103,3
2476,2
3171,1
3135,7
1382,6
3922,4
3054,2
4825,3
3519,4
2181,5
4002,1
3345,1
298,1
1951,1
3869,4
2628,8
1150,8
3323,8
2154,7
4296,2
207,6
4383,6
4124,3
2553,4
576,6
478,3
2407,4
2490,5
3531,6
4653,2
2129,5
3713,6
153,4
3999,3
4421,1
3539,4
4593,4
1209,1
976,5
238,8
4757,3
2888,2
4558,3
2311,3
3972,3
469,1
4682,4
2064,7
295,4
792,5
1894,2
844,6
1352,4
903,5
3693,2
2906,4
4290,8
3391,3
840,5
2176,6
3756,8
3690,1
484,6
4818,2
2930,1
4622,5
3307,5
929,5
912,3
4269,2
4066,8
3259,8
2859,3
1071,7
2525,8
1883,5
4456,1
4700,7
264,1
2848,8
2183,7
450,2
2442,4
4882,6
491,8
617,6
4775,8
316,3
3352,1
4523,8
1885,1
3450,1
4351,8
1190,7
2134,8
1600,2
2454,7
3444,6
1729,6
4800,4
3716,4
4811,4
435,6
1882,6
3550,7
2675,1
4738,2
2644,8
1341,7
1340,8
2568,2
3609,8
712,1
3888,2
894,1
4400,7
2491,6
2287,1
4448,3
1648,3
4554,2
363,6
2340,5
2417,7
797,2
2230,4
2987,4
3388,8
1700,7
3216,7
1716,3
4585,1
1623,4
1919,3
696,7
1328,3
276,4
2133,7
3074,3
1671,3
2709,7
4997,6
2321,5
4994,5
3045,1
4776,5
1217,4
2981,4
858,3
4049,1
745,3
3196,2
2272,8
1239,7
277,8
253,7
608,1
287,6
3691,6
2861,1
1100,8
4834,1
4734,7
4784,2
3598,4
1070,6
4761,2
3952,5
3757,6
2939,7
3568,5
4359,8
3527,7
2100,8
419,7
3645,1
3226,4
386,1
3202,8
918,1
26,6
3759,5
3157,7
4602,7
4610,4
3881,7
1247,3
1672,4
3725,3
4482,5
107,2
701,6
1944,5
2810,4
4212,4
1815,7
4656,1
1372,5
3000,7
4193,2
2161,2
4256,5
1547,2
3857,8
2820,1
4886,7
836,7
4474,2
4721,5
2593,3
2166,1
4528,7
3545,5
587,4
1770,2
3686,4
3494,8
1567,8
3559,8
3773,2
1523,1
1343,5
4615,5
4086,6
1112,4
421,2
1250,7
3296,4
1132,3
1659,2
2473,5
755,2
4703,4
1749,8
2254,2
2005,4
1602,4
1673,5
1199,8
4378,8
897,8
2477,2
1570,3
1455,7
1010,5
1210,3
3736,3
4901,2
258,6
3564,3
3439,7
1586,7
1332,1
1305,3
1027,1
2850,5
1320,4
3979,8
1001,6
2665,8
1701,8
910,1
3027,5
4168,4
3815,2
2380,4
699,8
345,4
4896,1
4493,7
3156,7
3583,8
4283,2
4275,2
863,3
2562,8
2389,5
2382,4
2634,2
2564,2
1399,1
4114,5
197,1
1654,4
2046,2
726,7
1574,4
2842,1
530,2
1563,1
3626,5
4237,5
