lyrics,title
"<div>
<!-- Usage of azlyrics.com content by any third-party lyrics provider is prohibited by our licensing agreement. Sorry about that. -->
This is what the devil plays before he goes to sleep<br/>
Some food for thought some food for death, go 'head and fuckin' eat<br/>
My father's dead well I don't know, we'll never fuckin' meet<br/>
I cut my wrist and play piano cause I'm so depressed<br/>
Somebody call the pastor, this bastard is so posessed<br/>
This meetin' just begun, nigga I'm Satan's son<br/>
<br/>
My mother raised me a single parent so it's apparent<br/>
That I got love for my mother, none of you other fuckas<br/>
Are much important I'm gettin' angrier while recordin'<br/>
I'm feelin' like the Bulls, I've got a Gang of Wolves<br/>
Odd Future is children that's fucked up on they mental<br/>
Simple but probably not, fuck 'em<br/>
<br/>
I'm tall, dark, skinny, my ears are big as fuck<br/>
Drunk white girls the only way I'll get my dick sucked<br/>
Suspended from school coolest nigga without effort<br/>
Easy to spot like black bitches with fake leopard<br/>
Soak me up in a tampon, but keep the lamp on<br/>
Cause this album packs enough evil<br/>
That you can't fit inside a jansport, go to school with this<br/>
<br/>
I go from AP to JC inside of fuckin' week<br/>
Wakin' up with random girls like ""Yo, bitch, how the fuck we meet?""<br/>
I stay with grandma, she always bitchin' about her carpet<br/>
Every time I walk inside the house, she always tend to start shit<br/>
No to drugs I never spark it, I used to be bullied for honour classes<br/>
By those slow as molasses, take this shit to school<br/>
<br/>
Raquel treat me like my father like a fuckin' stranger<br/>
She still don't know I made Sarah to strangle her<br/>
Not put her in danger and chop her up in the back of a Wrangler<br/>
All because she said no to homecomin', demons runnin'<br/>
Inside my head tellin' me evil thoughts<br/>
I'm the dream catcher but nothin' but nightmares I caught, go to sleep<br/>
<br/>
I wear green hats because I'm fortunately lucky<br/>
Fuck me the monster said, some how the monster's dead<br/>
Inside of me, but the thoughts it tells me are still evil<br/>
With this state of mind, big moves, Max Keeble<br/>
I'm on my grind feeble, my music is evil<br/>
My fuckin' samples are too illegal, play this shit in church<br/>
<br/>
I graduated without honors or a fuckin' father<br/>
He died, no bitch, don't even fuckin' bother<br/>
I wanted a brother my mother I told her<br/>
But instead I got a sister, just like me with her mister nada<br/>
So both of our imaginations are creations of the fuckin' situation<br/>
That's havin' our brains racin' like Dayton, wearin' some fuckin' heelies<br/>
<br/>
I know you fuckin' feel me, I want to fuckin' kill me<br/>
But times I'm so serious you think I'm silly<br/>
I'm doin' Big Style Willy couldn't touch 11<br/>
Seven. What's religion nigga? I am Legend<br/>
I roll with skaters and musicians with an intuition<br/>
I created O.F. cause I feel we're more talented<br/>
Than 40 year old rappers talkin' 'bout Gucci<br/>
When they have kids they haven't seen in years, impressin' their peers<br/>
With the same problem, the only way to solve them<br/>
Is to go to Father's Day convention with a gold revolver<br/>
Life's a salad I'mma toss it eat that shit up, Rick Ross it<br/>
Shit it out, bag it up sell it, I'm so damn rebellious<br/>
Cause my mother let me do what I want<br/>
She wasn't careless, protective she is the bear<br/>
The shit is so bare, my diary isn't hid<br/>
My father didn't give a fuck, so it's somethin' I inherit<br/>
My mom's all I have so it's never meet the parents<br/>
When Danielle or Malonda decide to fuckin' share<br/>
This confused boy, I wanna hug all ya, I’m bad for you kids to listen to<br/>
Soy is not the choice, I'm bad milk, drink it<br/>
<br/>
My wrist is all red from the cutter<br/>
Drippin' cold blood like the winter, the summer<br/>
Is never that's equivalent to me and Sarah<br/>
Well that's not her fuckin name, but I think this shit is clever<br/>
My niggas wanna know if I'm fuckin', if I'm kissin'<br/>
But I'm sittin' here downin' beers simply just wishin'<br/>
With tear they try to tell me but I never listen<br/>
Cause I don't give a shit like sittin' down pissin'<br/>
Eighteen, still talkin' to imaginaries<br/>
Hopefully they see the talent I carry just like Jimmy<br/>
Losers can never win me, you can never offend me<br/>
My goal in life is a Grammy, hopefully momma will attend the<br/>
Ceremony with all my homies, I'm suicidal<br/>
This my Zombie Circus, I hope the majors heard this<br/>
Fuck a deal, I just want my father's email<br/>
So I can tell him how much I fuckin' hate him in detail
</div>",Bastard
"<div>
<!-- Usage of azlyrics.com content by any third-party lyrics provider is prohibited by our licensing agreement. Sorry about that. -->
I'd tell him to eat a dick quicker than Mexicans sprint over borders<br/>
I give a fuck like a quarter with 20 cent<br/>
At Hamptons with Fred Hampton relaxin' at Happy Camper<br/>
It's the fuckin' financial aid at Hamptons wasn't relaxin', I'm taxin'<br/>
""Fuck 'em all!"" I'm chantin', don't complain I'm just rantin'<br/>
Fuck ranking, I'm the best, I'm the champion's chariot<br/>
I'm a liar like Carrey in ""Liar, Liar""<br/>
I'm dirtier than the sheets in the Marriott, Cable guy like Larry<br/>
Peter Pan in my youth, fucking fairies<br/>
I'm using my tooth bait to get that bitches teeth paste<br/>
Fuck it, Odd Future some nazis, black nazis don't copy<br/>
We perfect, you sloppy, huddled and slightly tacky<br/>
Fuck a label on my jacket, screw you like a ratchet<br/>
Screw you like a black teen on Judge Hatchett<br/>
Endotherms and jaguars, drug dealers and crackers<br/>
Able students and slackers<br/>
I'm backwards like Jermaine Dupri in '93<br/>
Escaping from concentration camps with a fucking girl born in a ramp<br/>
That I ordered from CCS with some diamonds that's VVS<br/>
Like I went to Sierra Leone in a homecoming dress<br/>
With some matching pink panties, lipstick from my granny<br/>
Sup on my hat like that motherfucker Frannie<br/>
White, red-headed bitch reminded me of Annie<br/>
She dyno like my state of mind, so yeah she understand me<br/>
Fuck you bunches here, never disrespect my family<br/>
That’s for my little brother, sister, cousin and my auntie<br/>
Wasted fuckin' youth? All you old niggas antiques<br/>
We go skate, rape sluts and eat donuts from Randy<br/>
Bitches like Tia Landry watching Billy and Mandy<br/>
Motherfuckers wanna be Odd but you can't be<br/>
Sit the fuck down all you old niggas stand me, faggot<br/>
<br/>
I guess I gotta be a fuckin' hand-me-down rapper<br/>
From Los Angee area anytime I'm fuckin' landing<br/>
Fuck 2DopeBoyz and NahRight, shout out to Hype Track<br/>
Them motherfuckers could never get rid of me<br/>
Guess I gotta do a fucking song with Dom Kennedy<br/>
Get these fuckin' hip hop bloggers to start feelin' me<br/>
Because I'm seventeen, compose my own beats<br/>
Lyrically I'm dope enough to ass-fuck the dude who made nicotine<br/>
Maybe I should buy some Hundreds, wear some fuckin' skinny jeans<br/>
And follow in your footsteps like a motherfuckin' millipede<br/>
Centipede, make songs about Gucci and cigaweed<br/>
Jerk with my friends like it's some motherfuckin' little league<br/>
No I ain't no fucking hipster, mister<br/>
No I'm not no fucking Kid Cudi, all my fucking fans love me<br/>
Collaboration hits for fans screaming fuck buddies, yo, yo<br/>
<br/>
I'm drivin' in a stolen truck, and I'm probably fuckin' drunk<br/>
Wasted as fuck, can't walk it out, DJ Unk<br/>
My nose is filled with coke and my license is revoked<br/>
(Shut the fuck up!) Who the fuck told me not to spoke?<br/>
Fuck everybody here, everybody vanish, I'll manage<br/>
Hop off my dick and make a fucking sandwitch<br/>
Everybody listening can suck my dick in Spanish<br/>
Fuck you, faggot (Fuckin' Bastard)<br/>
<br/>
Yeah, um, as you can probably tell from listening to this record<br/>
I was, I was probably angry, probably on my period<br/>
But um, I didn’t mean to offend anyone, alright, I'm lying, OF
</div>",Seven
"<div>
<!-- Usage of azlyrics.com content by any third-party lyrics provider is prohibited by our licensing agreement. Sorry about that. -->
Hello, the Hype is so Mellow<br/>
Bitch I'm dope and my pipe is so yellow<br/>
The blue polka dots, pink stripes and it's pink on the title<br/>
Nigga fuck your role model bitch, I'm my own idol and<br/>
If you can't face it my nigga, you can ass it<br/>
My accessorize accessories bring out my assets<br/>
Nigga they sound on acid, tablets<br/>
Stussy’s G-Shock with my custom pair of 3D glasses<br/>
I suffer from ADHD<br/>
I should win a fuckin' award for bein' me<br/>
Beat bangin' the tom-toms<br/>
My producer selection is fresh nigga, fuck Vons<br/>
Ace the Underdog, thrown 'em on the back bender<br/>
Cause I change my outfit more than transsexuals change gender<br/>
Eating Belgium waffles with Italian biscotts<br/>
I sold my soul to the devil for thirty percent off<br/>
And to you emo kids who walk around pissed off<br/>
Step one: pull your panties down and start to piss off<br/>
Step two: run to your radio, turn this shit off<br/>
Nigga didn't bother, so my father didn't help<br/>
So when my mom would beat my ass, she would always hit me<br/>
With Gucci belts, Gucci imprint from leather welts<br/>
<br/>
I'm so dapper man, funky fresh dapper dan<br/>
I'm your favorite rapper fan, it's an honor to shake my hand<br/>
On the wall, tall on excursions, I'm a virgin of swap meets<br/>
I'm so pure, so sick it's no cure<br/>
I'm dope, where the fiends at? Aight, where the jeans at?<br/>
They had the cooler t-shirt at Supreme<br/>
<br/>
And they see me they play pictionary<br/>
I got a good way with words like a dictionary<br/>
And in that dictionary my name is Bob Fresh<br/>
They at the same spot they making no progress<br/>
Becoming a good rapper ain't that easy<br/>
Of a process, eargasms they have 'em<br/>
The hotels we stayin' in twelve star<br/>
Tyler say ""Yo Casey just write a twelve bar""<br/>
If I'm with twelve people, I'm with twelve stars<br/>
You haters what up, you Gods<br/>
They against us, oh no<br/>
Red and white diamonds, Supreme box logo
</div>",Odd Toddlers
"<div>
<!-- Usage of azlyrics.com content by any third-party lyrics provider is prohibited by our licensing agreement. Sorry about that. -->
Got all the black bitches mad cause my main bitch vanilla<br/>
She tryna get her groove back like Stella, grab the umbrella<br/>
When it comes to your perception of my shit, I'm Helen Keller<br/>
When it comes to the perfection of my shit, I know you smell the<br/>
Rectum, I'm like a chromosome I always X 'em<br/>
Like Wolverine steps on attackin' a deadly weapon<br/>
I'm openin' a church to sell coke and Led Zeppelin<br/>
And fuck Mary in her ass.. ha-ha.. yo<br/>
I'm fuckin' Goldilocks up in the forest<br/>
In the three bear house eatin' their muthafuckin' porridge<br/>
I tell her it's my house, give her a tour<br/>
In my basement, and keep that bitch locked up in my storage<br/>
Rape her and record it, then edit it with more shit<br/>
Octopussy special effect erect bitches we bangin'<br/>
And please never disrespect my set with Canons<br/>
Hangin' from our necks like it's a muthafuckin' circus<br/>
<br/>
You little niggas better check my French<br/>
You gettin' money better check my French<br/>
Ahh, what time is it, huh? Check my French<br/>
If you got my shit you better check my French<br/>
I make it move check my French<br/>
I speak English but check my French<br/>
Your ho be on my penis she check my French, bitch<br/>
<br/>
I guess I left my dignity up in the cupboard, cause every girl I'm diggin'<br/>
When I'm diggin' in her pussy, I'm never usin' a rubber<br/>
But fuck it I guess I gotta stretch it out like it was flubber<br/>
And leave it drippin' green and red like double cheese buggers<br/>
Chewin' on cum like bubble gum from Hubba<br/>
This bitch knew dick like Bubba knew shrimp, yeah<br/>
Yo, I'm seventeen, already sniffin' blow<br/>
I tell my friends it's asthma every time I start to itch my throat<br/>
I got a new show for MTV, ""Pimp My Boat""<br/>
Because some bitch said my semen was dirty, that's silly ho<br/>
The most that they can do is find me, I'm hiding<br/>
Somewhere where Chris Stokes can't find me<br/>
Oh no, Mister Stokes, I don't like misters, no<br/>
Don't tell R. Kelly where my little sister go<br/>
<br/>
You little niggas better check my French<br/>
You gettin' money better check my French<br/>
Ahh, what time is it, huh? Check my French<br/>
If you got my shit you better check my French<br/>
I make it move check my French<br/>
I speak English but check my French<br/>
Your ho be on my penis she check my French, bitch<br/>
<br/>
Yo, you little niggas better check my French<br/>
I got all stars and you can check my bench<br/>
Left Brain, Super 3, Creator Ace<br/>
Put expressions in their music and create the face<br/>
Of the picture punchline figured out, ahh I get you<br/>
No you don't nigga so why don't you go figure<br/>
You seem confused anyway, pressured enough?<br/>
You the type of dude that choke when the pressure is up<br/>
The pressure is the pump and the pressure is us<br/>
Bitches havin' eargasms and the pleasure is us<br/>
Niggas wanna be O.F. and write letters to us<br/>
Competition's competition, yo you better than us?<br/>
Digest what I'm sayin'? I don't think so<br/>
We sick shit, throw it up down in the sink, yo<br/>
The Odd niggas are beginnin' to spill these pink hoes<br/>
We think sorta odd so we think so<br/>
<br/>
Crusin' in my go kart at Walmart sellin' cupcakes<br/>
Go 'head admit it faggot, this shit is tighter then butt rape<br/>
That involve Ballpark franks and silver duct tape<br/>
Pornos and hormones and boxes of DiGiorno<br/>
You homos is loco you're probably drinkin' Cuervo<br/>
With some vatos with the door closed watchin' Zorro, you homos.. O.F
</div>",French!
"<div>
<!-- Usage of azlyrics.com content by any third-party lyrics provider is prohibited by our licensing agreement. Sorry about that. -->
If this was a game<br/>
I already know that I would come out winner<br/>
And I'm not braggin', I'mma be in her<br/>
But this bitch really think that I'm 'bout to buy her dinner<br/>
My steak good, I got a good cut like splinter<br/>
Juicy and hot such a black bitch temper<br/>
Now she wanna talk and chop it up like a blender<br/>
But I don't give a fuck and keep her list'in like Schindler<br/>
She's cute but her forehead's big<br/>
Got stretch marks like she got four kids<br/>
Her legs can't close like the four door hinge Bronco<br/>
That O.J. killed the white hos with<br/>
A wealthy white girl without the facelift<br/>
Lure her with expensive dinners and a nice bracelet<br/>
Leave the bitch breathless, what the bitch don't know is that<br/>
I'm a muthafuckin' sellout and a rapist<br/>
<br/>
Baby, you're an angel<br/>
How 'bout we turn this into a fable of some sort?<br/>
You already know you're dead<br/>
Ironic cause your lipstick is red, of course<br/>
I stuff you in the trunk, drunk<br/>
Cause all I really wanna do is fuck and snort blow<br/>
<br/>
If this was a game<br/>
I would be considered a muthafuckin' legend<br/>
And I ain't tryna gas you up like Chevron<br/>
But I'm high as fuck bitch, you really need to get on my leverage<br/>
Now we're in the cabin, in the middle of uhh<br/>
Tryna find ways to really stuff you in my cabinet<br/>
Dreamy little bastard, I done ran outta luck so now<br/>
It's time for a bloody foot you little rabbit<br/>
You're very attractive, and notice that<br/>
My hat is always the color of cactus<br/>
And I hang with wolves cause I'm an evil Bastard<br/>
Pictures of you on my wall no glue, no tape but just cum plastered<br/>
Met you at my school, departed at my house<br/>
Ended at your panties, started at your blouse<br/>
Pushed you down stairs, I took a nap up on the couch<br/>
If you wanted a date, don't come<br/>
Now you gotta make it easy for me don't run<br/>
You call this shit kids, well I call these kids cum<br/>
And you call this shit rape but I think that rape's fun<br/>
Wait now it's about eight somethin<br/>
It's late and you stuck in my base-one<br/>
Come downstairs with nothin' but a shoe string<br/>
Yeah bitch this date's done<br/>
<br/>
Baby, you're an angel<br/>
How 'bout we turn this into a fable of some sort?<br/>
You already know you're dead<br/>
Ironic cause your lipstick is red, of course<br/>
I stuff you in the trunk, drunk<br/>
Cause all I really wanna do is fuck and snort blow<br/>
<br/>
I like my girls how I like my drugs, white<br/>
Lord, you're so pretty, lyin' in my arms<br/>
I just got one request, stop breathin'
</div>",Blow
"<div>
<!-- Usage of azlyrics.com content by any third-party lyrics provider is prohibited by our licensing agreement. Sorry about that. -->
I was taught to act my shoe-size, never my age<br/>
I always judge a book by the cover, never the page<br/>
I never judge a murder by weapons, only the rage<br/>
That he felt when he dealt with physological phase<br/>
They say that I never cease to amaze<br/>
While half my mental belongs in a cage<br/>
The ape is a beast, tranquilize that bitch<br/>
If you niggas selling dope then you selling my shit<br/>
Selling my assets, I'm so damn illegal that I need to be arrest<br/>
But then they'll get my mom for 18 years of posession<br/>
She showed me affection like a drug dealer using her pocket for my protection<br/>
<br/>
The pigs fly away in the morning<br/>
But I ain't get to see you today<br/>
And if I wanna go outside<br/>
I gotta make sure that I can play here<br/>
I bet you've never seen a pig fly<br/>
I bet you've never seen a pig fly<br/>
I bet you've never seen a pig fly<br/>
Well you ain't been looking through my eyes<br/>
<br/>
I bet you've never seen a pig fly, no<br/>
Right next to the fat lady hitting high notes<br/>
Went to sleep at seven then we woke up from the dream<br/>
Wore my wings and my jeans but my hat is from Supreme<br/>
So I guess that's where I hide my things<br/>
Caged, and the wonder is seen<br/>
Middle finger missing so I can not give a fuck<br/>
I can hear the bells ringing off the nice dream truck<br/>
So I'm chasing the dreams, no realities<br/>
Hoping that maturity won't be too mad at me<br/>
But If so, I'll take the scorn and indeed happily<br/>
Long as I can feel my heart tap like happy feet<br/>
<br/>
Fatherless kids orphans like me and Domo is<br/>
A fuck that we will never give is like our pops<br/>
But what we did was found our niche and made a stitch<br/>
Just like a shirt, that's why our stains smell like the shit<br/>
<br/>
The pigs fly away in the morning<br/>
But I ain't get to see you today<br/>
And if I wanna go outside<br/>
I gotta make sure that I can play here<br/>
I bet you've never seen a pig fly<br/>
I bet you've never seen a pig fly<br/>
I bet you've never seen a pig fly<br/>
Well you ain't been looking through my eyes<br/>
<br/>
And my circus is all night (Don't go home tonight<br/>
Don't go home tonight, chill, don't go home tonight)<br/>
And my circus is all night (Don't go home tonight, chill<br/>
Please stay, don't go home tonight, don't go home tonight)<br/>
<br/>
I'm an odd fellow, the opposite of mellow<br/>
The therapist said hell, oh would my mama wonder<br/>
I was dealing with iller shit like professional plumbers<br/>
Like Food for Thought was my father but I ain't had the hunger<br/>
My self esteem is like me, tall and full of flaws<br/>
My pride is gone, I'm that guy like Aaron Hall<br/>
I know some niggas wear their hearts on they sleeves<br/>
But I wear mine on my head, Supreme
</div>",Pigs Fly
"<div>
<!-- Usage of azlyrics.com content by any third-party lyrics provider is prohibited by our licensing agreement. Sorry about that. -->
Odd (I'm a young man)<br/>
Future (I'm a little boy)<br/>
Wolf (Yes I'm over-joyed)<br/>
Gang (Let's parade in gold)<br/>
<br/>
Welcome to the euphoria of cocaine without able<br/>
I can make music that makes sense, but not meant to be stable<br/>
Eighteen with the whole world in front of me<br/>
Odd Future teenagers, nobody can fuck with we<br/>
<br/>
Odd (I'm a young man)<br/>
Future (I'm a little boy)<br/>
Wolf (Yes I'm over-joyed)<br/>
Gang (Let's parade in gold)<br/>
<br/>
I scream and jump around on couches while you sit and talk<br/>
I skip to places, smilin' faces, while you fuckin' walk<br/>
My TV stays on Cartoon Network, fuck that Twilight shit<br/>
You have highlights about your life, I have half of my high life bitch<br/>
Go to college, get a job, marry, have a kid<br/>
Watch them grow and then you die? No, nigga fuck the system<br/>
<br/>
Odd (I'm a young man)<br/>
Future (I'm a little boy)<br/>
Wolf (Yes I'm over-joyed)<br/>
Gang (Let's parade in gold)<br/>
<br/>
Good kids make bad grown ups<br/>
Stay gold, stray old, maturin' means that your life sucks<br/>
In my wolf suit, I roam where the wild things at<br/>
Still growin', still learnin', not knowin' that I'm Matt<br/>
I don't wanna grow up, I know that shit for a fact, nigga eighteen<br/>
<br/>
Odd (I'm a young man)<br/>
Future (I'm a little boy)<br/>
Wolf (Yes I'm over-joyed)<br/>
Gang (Let's parade in gold)<br/>
<br/>
They say I'm immature, I say that they depressed<br/>
I talk to unicorns, I'm wearin' a uniform<br/>
Of a nigga that don't give a fuck about time<br/>
You live your life all serious while I'm enjoyin' mine
</div>",Parade
"<div>
<!-- Usage of azlyrics.com content by any third-party lyrics provider is prohibited by our licensing agreement. Sorry about that. -->
We come through throbbin' like thunder storms<br/>
Make them feets get wet and funky up in they under arms<br/>
I'm too explosive for your ears like I'm throwin' bombs<br/>
With the exclusive on the channel, bitch I know it's on<br/>
Niggas get mad like cheerleaders, they throw they pom-poms<br/>
Suck a dick, eat salam gettin' they nails done in salons<br/>
Hodgy Beats is like limp balm<br/>
If you talk shit, I'll make you cry and tell your big moms<br/>
I got nice hands, niggas eat out my big palms<br/>
Haters must be starvin' nowadays I make California Vietnam<br/>
And I'm goin' to embalm my creativity<br/>
Into a CD-rom, so you can feel this shit up on<br/>
<br/>
Turn it up, where's the bass?<br/>
Bring the keys, yeah<br/>
Turn it up, where's the bass?<br/>
Bring the keys, oh my God<br/>
Turn it up nigga, where's the bass?<br/>
Could you bring the keys? Yeah<br/>
Turn it up, nigga where's the bass?<br/>
Drop the drums<br/>
<br/>
=Pink chinchilla, cause I'm like Thrilla<br/>
My t-shirts are bathin', a bathin' gorilla<br/>
You niggas all hype like you drink a cup of Splenda<br/>
But I ate that whole plate like a fat bitch dinner<br/>
I'm never the winner, always the loser<br/>
I don't choose to win, but I will choose her<br/>
Her kitty-cat fish loves his tuna<br/>
I never use a fork I always spoon her<br/>
Go nuts, instrumental flow much<br/>
European model white bitch is eatin' donuts<br/>
Fuck you faggots, I'm with a fat bitch<br/>
Makin' shit come like I'm go-go gadget<br/>
I'm mental, it's instrumental<br/>
Make your future therapist ask for dental records<br/>
And I hope this record have you stabbin' niggas with colored pencils<br/>
<br/>
Turn it up, where's the bass?<br/>
Bring the keys, yeah<br/>
Turn it up, where's the bass?<br/>
Bring the keys, oh my God<br/>
Turn it up nigga, where's the bass?<br/>
Could you bring the keys? Yeah<br/>
Turn it up, nigga where's the bass?<br/>
Drop the drums<br/>
<br/>
Yo, bubble gum that Reese's Pieces<br/>
You're feelin' life, I'll mug your teachers<br/>
I've got Muslims crawlin' on Jesus<br/>
I fucked Kelly, where is Regis?<br/>
Found Alicia, now she keyless<br/>
Cold as ice, and now I'm creamless<br/>
Murdered every bod from my squad<br/>
So technically, now I'm teamless, O.F. is so prestigious
</div>",Slow It Down
"<div>
<!-- Usage of azlyrics.com content by any third-party lyrics provider is prohibited by our licensing agreement. Sorry about that. -->
Uhh, addicts arise, when I arrive<br/>
In this cracked crack fag bag slab in disguise<br/>
Fat sack of knives in the passenger side, bitch<br/>
Reach for the door, get your access denied<br/>
<br/>
I'm not an asshole I just don't give a fuck a lot<br/>
The only time I do is when a bitch is screamin' ""Tyler, stop!""<br/>
The big bad wolf to me you're just a minor fox<br/>
Red ridin' is gettin' some of this wolfly odder cock<br/>
<br/>
We the niggas you scared of, like bad dentists<br/>
Flow is anthemic, dirty like it's plants in it<br/>
Sick, spit a pandemic, crack and Cancer mixed with cannabis<br/>
To have a bitch, ready to stab a clit with some glass and shit<br/>
<br/>
Your whole gang will be diminished, Bunch got the Brady's in it<br/>
Spit sick shit like my saliva got the rabies in it<br/>
Fuck rap, I'll be a landlord so I can rape a tenants daughter<br/>
Leave my house with a new stomach, and a baby in it<br/>
<br/>
Face it, me and Ace's is sick like malaria carriers<br/>
Jim Carrey her to the cemetary to bury her<br/>
Listen busters, scarier when I finger fuck her<br/>
After I dig her up and then eat her out with a bit of mustard<br/>
<br/>
Took karate, mommy told me ""Tyler toughen up""<br/>
Rihanna haircut, somebody tell Chris Brown to fuck me up<br/>
Had to teach the bitch manners, now I gotta learn her<br/>
I'll beat the fuck out your bitch anonymous, Ike Turner<br/>
<br/>
Over, sloppy seconds is my preference<br/>
Except for when I'm feedin' on the flesh of a pedestrian<br/>
Nessy loch monster stop! Will he though? Probably not<br/>
Silly hos lick my balls like FIFA lollipops<br/>
<br/>
Get the certain tingle, eatin' Haagen Dazs<br/>
With some soccer moms while they like to fuckin' sit and mingle<br/>
Watch an Animal Planet document on the Eagles<br/>
In the flyest '06 Supreme beanie, Sigel<br/>
<br/>
Your grind's feeble, I'm regal, really, I'm Willy Smith<br/>
I am Legend a Snicker dick in a vanilly chick<br/>
Come take a stab at it faggot, I preordered your casket<br/>
This is known as a classic, yeah that chapped lips crack shit<br/>
<br/>
Hat is always forest so the bitches call me Gump<br/>
But compliment her tits and then its off to hump her<br/>
Fuck her in a hummer while I rape her and I put her in a slumber<br/>
It's not a figure of speech when I tell you that I dumped her<br/>
<br/>
No narcissists, sippin' on arsenic<br/>
Carved carcasses in the garage, don't park in it<br/>
Hard as finding retarded kids at Harvard<br/>
It's Wolf Gang barkin' keep you up like car alarms and shit<br/>
<br/>
Over the edge, yeah I had in a potato sack<br/>
Cause I'm cold as ice like Anasia when she fuckin' Traq<br/>
I'm the type to put you down and bring myself up<br/>
So when I rape a bitch I hold her down and get my best nut<br/>
<br/>
The reincarnation of '98 Eminem<br/>
60 Crip and Grizzly and some RMK Denim<br/>
Pay attention I'm stabbin' your women friends, like a gentlemen<br/>
Then dippin' with the fuckin' pen to go sin again<br/>
<br/>
White girl, you can ask her what the dick be like<br/>
At monster madness doin' drive by's on a fuckin' fixie bike<br/>
Fuck it moron, snortin' oxycontin, wearin' cotton<br/>
Oxymoron like buff faggots playin' sissy dykes<br/>
<br/>
This the shit that get cripple bitches to hop<br/>
Dirty crack pipes with, bullshit to stop, ho<br/>
Boss broke, spouse choke, blouse open<br/>
Sly's little shop of horrors, now showin'<br/>
<br/>
I hate gays, gangbangers and fuckin' jerkers<br/>
Unless it's gay gangbangers: that's fuckin' jerkers<br/>
Whoa yo, yo.. no homo, I'm not gay, faggot<br/>
Odd Future Wolf Gang, Wu-Tang bangin' in your system<br/>
Probably banging in your sister with my children swimmin' in her system<br/>
Let me say this shit in slow-mo, homo<br/>
You don't fuckin' skate, take off that Box Logo
</div>",AssMilk
"<div>
<!-- Usage of azlyrics.com content by any third-party lyrics provider is prohibited by our licensing agreement. Sorry about that. -->
I don't wanna play you, I just wanna tape you undress<br/>
And then I'll lay you down and record soft porn<br/>
If it's romance then it's hardcore, if it's horror<br/>
Pop the pop corn, the thought to rape you really turns me on<br/>
<br/>
Press my buttons baby, Press my fuckin' buttons baby,<br/>
<br/>
You're my favorite show, any chance I get I try to watch<br/>
Die hard fan, can't stop with the tapings<br/>
Sorta like a psycho when I can't stop with the raping<br/>
Of the VHS especially during sex baby<br/>
<br/>
Press my buttons baby, Press my fuckin' buttons baby,<br/>
<br/>
Ready to watch? I'mma slip it in the tape deck<br/>
But put it in slowmo, I don't wanna bust the tape yet, press play<br/>
Now this is what I call an evening<br/>
A live show, almost equivalent to the screening<br/>
You're dream movie, I'm the clearest copy<br/>
Now time for Blow, I'm Johnny deep with the rarest poppy<br/>
Snort a little, now you're getting groovy<br/>
Cause I'll kill if I find out you're watching some other movies, bitch<br/>
<br/>
Press my buttons baby, Press my fuckin' buttons baby,<br/>
STOP!<br/>
<br/>
Danielle, Danielle, yeah you heard about Raquel<br/>
Well that didn't go well, let me try to make it swell<br/>
Put the beaver in the mail, we can take it slow like snail<br/>
Lock my heart up, this is jail, throw away the key<br/>
<br/>
Can I sleep over, and wake up next to you?<br/>
I wanna feel you near, just let me whisper in your ear, um<br/>
<br/>
We can kick it on the couch, blunt to you, roll it up<br/>
But I'm on some shrooms if you really wanna feel the room<br/>
I just wanna kick it, kick it for the rest<br/>
I skated all day, I just need some rest<br/>
<br/>
Can I sleep over, and wake up next to you?<br/>
I wanna feel you near, just let me whisper in your ear, um<br/>
<br/>
We can count the stars on the hood in your father's car<br/>
He's a buster anyway, I can take it him day<br/>
Look into your eyes I realize that I like you so much<br/>
That was corny, now I'm horny, can I have a just kiss?<br/>
<br/>
Can I sleep over, and wake up next to you?<br/>
I wanna feel you near, just let me whisper in your ear, um<br/>
<br/>
We both teenagers with the same mind state<br/>
How 'bout some ice cream and some South Park for this first date?<br/>
Your cat is waitin' for that raw fish I can't wait, get it?<br/>
<br/>
Can I sleep over, and wake up next to you?<br/>
I wanna feel you near, just let me whisper in your ear, um
</div>",VCR / Wheels
