,neg,neu,pos,compound,lyrics,album,year
0,0.23,0.643,0.127,-0.9991,"This is what the devil plays before he goes to sleep Some food for thought some food for death, go 'head and fuckin' eat My father's dead well I don't know, we'll never fuckin' meet I cut my wrist and play piano cause I'm so depressed Somebody call the pastor, this bastard is so posessed This meetin' just begun, nigga I'm Satan's son  My mother raised me a single parent so it's apparent That I got love for my mother, none of you other fuckas Are much important I'm gettin' angrier while recordin' I'm feelin' like the Bulls, I've got a Gang of Wolves Odd Future is children that's fucked up on they mental Simple but probably not, fuck 'em  I'm tall, dark, skinny, my ears are big as fuck Drunk white girls the only way I'll get my dick sucked Suspended from school coolest nigga without effort Easy to spot like black bitches with fake leopard Soak me up in a tampon, but keep the lamp on Cause this album packs enough evil That you can't fit inside a jansport, go to school with this  I go from AP to JC inside of fuckin' week Wakin' up with random girls like ""Yo, bitch, how the fuck we meet?"" I stay with grandma, she always bitchin' about her carpet Every time I walk inside the house, she always tend to start shit No to drugs I never spark it, I used to be bullied for honour classes By those slow as molasses, take this shit to school  Raquel treat me like my father like a fuckin' stranger She still don't know I made Sarah to strangle her Not put her in danger and chop her up in the back of a Wrangler All because she said no to homecomin', demons runnin' Inside my head tellin' me evil thoughts I'm the dream catcher but nothin' but nightmares I caught, go to sleep  I wear green hats because I'm fortunately lucky Fuck me the monster said, some how the monster's dead Inside of me, but the thoughts it tells me are still evil With this state of mind, big moves, Max Keeble I'm on my grind feeble, my music is evil My fuckin' samples are too illegal, play this shit in church  I graduated without honors or a fuckin' father He died, no bitch, don't even fuckin' bother I wanted a brother my mother I told her But instead I got a sister, just like me with her mister nada So both of our imaginations are creations of the fuckin' situation That's havin' our brains racin' like Dayton, wearin' some fuckin' heelies  I know you fuckin' feel me, I want to fuckin' kill me But times I'm so serious you think I'm silly I'm doin' Big Style Willy couldn't touch 11 Seven. What's religion nigga? I am Legend I roll with skaters and musicians with an intuition I created O.F. cause I feel we're more talented Than 40 year old rappers talkin' 'bout Gucci When they have kids they haven't seen in years, impressin' their peers With the same problem, the only way to solve them Is to go to Father's Day convention with a gold revolver Life's a salad I'mma toss it eat that shit up, Rick Ross it Shit it out, bag it up sell it, I'm so damn rebellious Cause my mother let me do what I want She wasn't careless, protective she is the bear The shit is so bare, my diary isn't hid My father didn't give a fuck, so it's somethin' I inherit My mom's all I have so it's never meet the parents When Danielle or Malonda decide to fuckin' share This confused boy, I wanna hug all ya, I’m bad for you kids to listen to Soy is not the choice, I'm bad milk, drink it  My wrist is all red from the cutter Drippin' cold blood like the winter, the summer Is never that's equivalent to me and Sarah Well that's not her fuckin name, but I think this shit is clever My niggas wanna know if I'm fuckin', if I'm kissin' But I'm sittin' here downin' beers simply just wishin' With tear they try to tell me but I never listen Cause I don't give a shit like sittin' down pissin' Eighteen, still talkin' to imaginaries Hopefully they see the talent I carry just like Jimmy Losers can never win me, you can never offend me My goal in life is a Grammy, hopefully momma will attend the Ceremony with all my homies, I'm suicidal This my Zombie Circus, I hope the majors heard this Fuck a deal, I just want my father's email So I can tell him how much I fuckin' hate him in detail",Bastard,2009
1,0.232,0.675,0.093,-0.9984,"I'd tell him to eat a dick quicker than Mexicans sprint over borders I give a fuck like a quarter with 20 cent At Hamptons with Fred Hampton relaxin' at Happy Camper It's the fuckin' financial aid at Hamptons wasn't relaxin', I'm taxin' ""Fuck 'em all!"" I'm chantin', don't complain I'm just rantin' Fuck ranking, I'm the best, I'm the champion's chariot I'm a liar like Carrey in ""Liar, Liar"" I'm dirtier than the sheets in the Marriott, Cable guy like Larry Peter Pan in my youth, fucking fairies I'm using my tooth bait to get that bitches teeth paste Fuck it, Odd Future some nazis, black nazis don't copy We perfect, you sloppy, huddled and slightly tacky Fuck a label on my jacket, screw you like a ratchet Screw you like a black teen on Judge Hatchett Endotherms and jaguars, drug dealers and crackers Able students and slackers I'm backwards like Jermaine Dupri in '93 Escaping from concentration camps with a fucking girl born in a ramp That I ordered from CCS with some diamonds that's VVS Like I went to Sierra Leone in a homecoming dress With some matching pink panties, lipstick from my granny Sup on my hat like that motherfucker Frannie White, red-headed bitch reminded me of Annie She dyno like my state of mind, so yeah she understand me Fuck you bunches here, never disrespect my family That’s for my little brother, sister, cousin and my auntie Wasted fuckin' youth? All you old niggas antiques We go skate, rape sluts and eat donuts from Randy Bitches like Tia Landry watching Billy and Mandy Motherfuckers wanna be Odd but you can't be Sit the fuck down all you old niggas stand me, faggot  I guess I gotta be a fuckin' hand-me-down rapper From Los Angee area anytime I'm fuckin' landing Fuck 2DopeBoyz and NahRight, shout out to Hype Track Them motherfuckers could never get rid of me Guess I gotta do a fucking song with Dom Kennedy Get these fuckin' hip hop bloggers to start feelin' me Because I'm seventeen, compose my own beats Lyrically I'm dope enough to ass-fuck the dude who made nicotine Maybe I should buy some Hundreds, wear some fuckin' skinny jeans And follow in your footsteps like a motherfuckin' millipede Centipede, make songs about Gucci and cigaweed Jerk with my friends like it's some motherfuckin' little league No I ain't no fucking hipster, mister No I'm not no fucking Kid Cudi, all my fucking fans love me Collaboration hits for fans screaming fuck buddies, yo, yo  I'm drivin' in a stolen truck, and I'm probably fuckin' drunk Wasted as fuck, can't walk it out, DJ Unk My nose is filled with coke and my license is revoked (Shut the fuck up!) Who the fuck told me not to spoke? Fuck everybody here, everybody vanish, I'll manage Hop off my dick and make a fucking sandwitch Everybody listening can suck my dick in Spanish Fuck you, faggot (Fuckin' Bastard)  Yeah, um, as you can probably tell from listening to this record I was, I was probably angry, probably on my period But um, I didn’t mean to offend anyone, alright, I'm lying, OF",Bastard,2009
2,0.158,0.718,0.124,-0.9527,"Hello, the Hype is so Mellow Bitch I'm dope and my pipe is so yellow The blue polka dots, pink stripes and it's pink on the title Nigga fuck your role model bitch, I'm my own idol and If you can't face it my nigga, you can ass it My accessorize accessories bring out my assets Nigga they sound on acid, tablets Stussy’s G-Shock with my custom pair of 3D glasses I suffer from ADHD I should win a fuckin' award for bein' me Beat bangin' the tom-toms My producer selection is fresh nigga, fuck Vons Ace the Underdog, thrown 'em on the back bender Cause I change my outfit more than transsexuals change gender Eating Belgium waffles with Italian biscotts I sold my soul to the devil for thirty percent off And to you emo kids who walk around pissed off Step one: pull your panties down and start to piss off Step two: run to your radio, turn this shit off Nigga didn't bother, so my father didn't help So when my mom would beat my ass, she would always hit me With Gucci belts, Gucci imprint from leather welts  I'm so dapper man, funky fresh dapper dan I'm your favorite rapper fan, it's an honor to shake my hand On the wall, tall on excursions, I'm a virgin of swap meets I'm so pure, so sick it's no cure I'm dope, where the fiends at? Aight, where the jeans at? They had the cooler t-shirt at Supreme  And they see me they play pictionary I got a good way with words like a dictionary And in that dictionary my name is Bob Fresh They at the same spot they making no progress Becoming a good rapper ain't that easy Of a process, eargasms they have 'em The hotels we stayin' in twelve star Tyler say ""Yo Casey just write a twelve bar"" If I'm with twelve people, I'm with twelve stars You haters what up, you Gods They against us, oh no Red and white diamonds, Supreme box logo",Bastard,2009
3,0.196,0.696,0.108,-0.997,"Got all the black bitches mad cause my main bitch vanilla She tryna get her groove back like Stella, grab the umbrella When it comes to your perception of my shit, I'm Helen Keller When it comes to the perfection of my shit, I know you smell the Rectum, I'm like a chromosome I always X 'em Like Wolverine steps on attackin' a deadly weapon I'm openin' a church to sell coke and Led Zeppelin And fuck Mary in her ass.. ha-ha.. yo I'm fuckin' Goldilocks up in the forest In the three bear house eatin' their muthafuckin' porridge I tell her it's my house, give her a tour In my basement, and keep that bitch locked up in my storage Rape her and record it, then edit it with more shit Octopussy special effect erect bitches we bangin' And please never disrespect my set with Canons Hangin' from our necks like it's a muthafuckin' circus  You little niggas better check my French You gettin' money better check my French Ahh, what time is it, huh? Check my French If you got my shit you better check my French I make it move check my French I speak English but check my French Your ho be on my penis she check my French, bitch  I guess I left my dignity up in the cupboard, cause every girl I'm diggin' When I'm diggin' in her pussy, I'm never usin' a rubber But fuck it I guess I gotta stretch it out like it was flubber And leave it drippin' green and red like double cheese buggers Chewin' on cum like bubble gum from Hubba This bitch knew dick like Bubba knew shrimp, yeah Yo, I'm seventeen, already sniffin' blow I tell my friends it's asthma every time I start to itch my throat I got a new show for MTV, ""Pimp My Boat"" Because some bitch said my semen was dirty, that's silly ho The most that they can do is find me, I'm hiding Somewhere where Chris Stokes can't find me Oh no, Mister Stokes, I don't like misters, no Don't tell R. Kelly where my little sister go  You little niggas better check my French You gettin' money better check my French Ahh, what time is it, huh? Check my French If you got my shit you better check my French I make it move check my French I speak English but check my French Your ho be on my penis she check my French, bitch  Yo, you little niggas better check my French I got all stars and you can check my bench Left Brain, Super 3, Creator Ace Put expressions in their music and create the face Of the picture punchline figured out, ahh I get you No you don't nigga so why don't you go figure You seem confused anyway, pressured enough? You the type of dude that choke when the pressure is up The pressure is the pump and the pressure is us Bitches havin' eargasms and the pleasure is us Niggas wanna be O.F. and write letters to us Competition's competition, yo you better than us? Digest what I'm sayin'? I don't think so We sick shit, throw it up down in the sink, yo The Odd niggas are beginnin' to spill these pink hoes We think sorta odd so we think so  Crusin' in my go kart at Walmart sellin' cupcakes Go 'head admit it faggot, this shit is tighter then butt rape That involve Ballpark franks and silver duct tape Pornos and hormones and boxes of DiGiorno You homos is loco you're probably drinkin' Cuervo With some vatos with the door closed watchin' Zorro, you homos.. O.F",Bastard,2009
4,0.207,0.658,0.136,-0.9948,"If this was a game I already know that I would come out winner And I'm not braggin', I'mma be in her But this bitch really think that I'm 'bout to buy her dinner My steak good, I got a good cut like splinter Juicy and hot such a black bitch temper Now she wanna talk and chop it up like a blender But I don't give a fuck and keep her list'in like Schindler She's cute but her forehead's big Got stretch marks like she got four kids Her legs can't close like the four door hinge Bronco That O.J. killed the white hos with A wealthy white girl without the facelift Lure her with expensive dinners and a nice bracelet Leave the bitch breathless, what the bitch don't know is that I'm a muthafuckin' sellout and a rapist  Baby, you're an angel How 'bout we turn this into a fable of some sort? You already know you're dead Ironic cause your lipstick is red, of course I stuff you in the trunk, drunk Cause all I really wanna do is fuck and snort blow  If this was a game I would be considered a muthafuckin' legend And I ain't tryna gas you up like Chevron But I'm high as fuck bitch, you really need to get on my leverage Now we're in the cabin, in the middle of uhh Tryna find ways to really stuff you in my cabinet Dreamy little bastard, I done ran outta luck so now It's time for a bloody foot you little rabbit You're very attractive, and notice that My hat is always the color of cactus And I hang with wolves cause I'm an evil Bastard Pictures of you on my wall no glue, no tape but just cum plastered Met you at my school, departed at my house Ended at your panties, started at your blouse Pushed you down stairs, I took a nap up on the couch If you wanted a date, don't come Now you gotta make it easy for me don't run You call this shit kids, well I call these kids cum And you call this shit rape but I think that rape's fun Wait now it's about eight somethin It's late and you stuck in my base-one Come downstairs with nothin' but a shoe string Yeah bitch this date's done  Baby, you're an angel How 'bout we turn this into a fable of some sort? You already know you're dead Ironic cause your lipstick is red, of course I stuff you in the trunk, drunk Cause all I really wanna do is fuck and snort blow  I like my girls how I like my drugs, white Lord, you're so pretty, lyin' in my arms I just got one request, stop breathin'",Bastard,2009
5,0.089,0.726,0.185,0.9951,"I was taught to act my shoe-size, never my age I always judge a book by the cover, never the page I never judge a murder by weapons, only the rage That he felt when he dealt with physological phase They say that I never cease to amaze While half my mental belongs in a cage The ape is a beast, tranquilize that bitch If you niggas selling dope then you selling my shit Selling my assets, I'm so damn illegal that I need to be arrest But then they'll get my mom for 18 years of posession She showed me affection like a drug dealer using her pocket for my protection  The pigs fly away in the morning But I ain't get to see you today And if I wanna go outside I gotta make sure that I can play here I bet you've never seen a pig fly I bet you've never seen a pig fly I bet you've never seen a pig fly Well you ain't been looking through my eyes  I bet you've never seen a pig fly, no Right next to the fat lady hitting high notes Went to sleep at seven then we woke up from the dream Wore my wings and my jeans but my hat is from Supreme So I guess that's where I hide my things Caged, and the wonder is seen Middle finger missing so I can not give a fuck I can hear the bells ringing off the nice dream truck So I'm chasing the dreams, no realities Hoping that maturity won't be too mad at me But If so, I'll take the scorn and indeed happily Long as I can feel my heart tap like happy feet  Fatherless kids orphans like me and Domo is A fuck that we will never give is like our pops But what we did was found our niche and made a stitch Just like a shirt, that's why our stains smell like the shit  The pigs fly away in the morning But I ain't get to see you today And if I wanna go outside I gotta make sure that I can play here I bet you've never seen a pig fly I bet you've never seen a pig fly I bet you've never seen a pig fly Well you ain't been looking through my eyes  And my circus is all night (Don't go home tonight Don't go home tonight, chill, don't go home tonight) And my circus is all night (Don't go home tonight, chill Please stay, don't go home tonight, don't go home tonight)  I'm an odd fellow, the opposite of mellow The therapist said hell, oh would my mama wonder I was dealing with iller shit like professional plumbers Like Food for Thought was my father but I ain't had the hunger My self esteem is like me, tall and full of flaws My pride is gone, I'm that guy like Aaron Hall I know some niggas wear their hearts on they sleeves But I wear mine on my head, Supreme",Bastard,2009
6,0.238,0.726,0.037,-0.9966,"Odd (I'm a young man) Future (I'm a little boy) Wolf (Yes I'm over-joyed) Gang (Let's parade in gold)  Welcome to the euphoria of cocaine without able I can make music that makes sense, but not meant to be stable Eighteen with the whole world in front of me Odd Future teenagers, nobody can fuck with we  Odd (I'm a young man) Future (I'm a little boy) Wolf (Yes I'm over-joyed) Gang (Let's parade in gold)  I scream and jump around on couches while you sit and talk I skip to places, smilin' faces, while you fuckin' walk My TV stays on Cartoon Network, fuck that Twilight shit You have highlights about your life, I have half of my high life bitch Go to college, get a job, marry, have a kid Watch them grow and then you die? No, nigga fuck the system  Odd (I'm a young man) Future (I'm a little boy) Wolf (Yes I'm over-joyed) Gang (Let's parade in gold)  Good kids make bad grown ups Stay gold, stray old, maturin' means that your life sucks In my wolf suit, I roam where the wild things at Still growin', still learnin', not knowin' that I'm Matt I don't wanna grow up, I know that shit for a fact, nigga eighteen  Odd (I'm a young man) Future (I'm a little boy) Wolf (Yes I'm over-joyed) Gang (Let's parade in gold)  They say I'm immature, I say that they depressed I talk to unicorns, I'm wearin' a uniform Of a nigga that don't give a fuck about time You live your life all serious while I'm enjoyin' mine",Bastard,2009
7,0.179,0.719,0.101,-0.9897,"We come through throbbin' like thunder storms Make them feets get wet and funky up in they under arms I'm too explosive for your ears like I'm throwin' bombs With the exclusive on the channel, bitch I know it's on Niggas get mad like cheerleaders, they throw they pom-poms Suck a dick, eat salam gettin' they nails done in salons Hodgy Beats is like limp balm If you talk shit, I'll make you cry and tell your big moms I got nice hands, niggas eat out my big palms Haters must be starvin' nowadays I make California Vietnam And I'm goin' to embalm my creativity Into a CD-rom, so you can feel this shit up on  Turn it up, where's the bass? Bring the keys, yeah Turn it up, where's the bass? Bring the keys, oh my God Turn it up nigga, where's the bass? Could you bring the keys? Yeah Turn it up, nigga where's the bass? Drop the drums  =Pink chinchilla, cause I'm like Thrilla My t-shirts are bathin', a bathin' gorilla You niggas all hype like you drink a cup of Splenda But I ate that whole plate like a fat bitch dinner I'm never the winner, always the loser I don't choose to win, but I will choose her Her kitty-cat fish loves his tuna I never use a fork I always spoon her Go nuts, instrumental flow much European model white bitch is eatin' donuts Fuck you faggots, I'm with a fat bitch Makin' shit come like I'm go-go gadget I'm mental, it's instrumental Make your future therapist ask for dental records And I hope this record have you stabbin' niggas with colored pencils  Turn it up, where's the bass? Bring the keys, yeah Turn it up, where's the bass? Bring the keys, oh my God Turn it up nigga, where's the bass? Could you bring the keys? Yeah Turn it up, nigga where's the bass? Drop the drums  Yo, bubble gum that Reese's Pieces You're feelin' life, I'll mug your teachers I've got Muslims crawlin' on Jesus I fucked Kelly, where is Regis? Found Alicia, now she keyless Cold as ice, and now I'm creamless Murdered every bod from my squad So technically, now I'm teamless, O.F. is so prestigious",Bastard,2009
8,0.257,0.659,0.084,-0.9992,"Uhh, addicts arise, when I arrive In this cracked crack fag bag slab in disguise Fat sack of knives in the passenger side, bitch Reach for the door, get your access denied  I'm not an asshole I just don't give a fuck a lot The only time I do is when a bitch is screamin' ""Tyler, stop!"" The big bad wolf to me you're just a minor fox Red ridin' is gettin' some of this wolfly odder cock  We the niggas you scared of, like bad dentists Flow is anthemic, dirty like it's plants in it Sick, spit a pandemic, crack and Cancer mixed with cannabis To have a bitch, ready to stab a clit with some glass and shit  Your whole gang will be diminished, Bunch got the Brady's in it Spit sick shit like my saliva got the rabies in it Fuck rap, I'll be a landlord so I can rape a tenants daughter Leave my house with a new stomach, and a baby in it  Face it, me and Ace's is sick like malaria carriers Jim Carrey her to the cemetary to bury her Listen busters, scarier when I finger fuck her After I dig her up and then eat her out with a bit of mustard  Took karate, mommy told me ""Tyler toughen up"" Rihanna haircut, somebody tell Chris Brown to fuck me up Had to teach the bitch manners, now I gotta learn her I'll beat the fuck out your bitch anonymous, Ike Turner  Over, sloppy seconds is my preference Except for when I'm feedin' on the flesh of a pedestrian Nessy loch monster stop! Will he though? Probably not Silly hos lick my balls like FIFA lollipops  Get the certain tingle, eatin' Haagen Dazs With some soccer moms while they like to fuckin' sit and mingle Watch an Animal Planet document on the Eagles In the flyest '06 Supreme beanie, Sigel  Your grind's feeble, I'm regal, really, I'm Willy Smith I am Legend a Snicker dick in a vanilly chick Come take a stab at it faggot, I preordered your casket This is known as a classic, yeah that chapped lips crack shit  Hat is always forest so the bitches call me Gump But compliment her tits and then its off to hump her Fuck her in a hummer while I rape her and I put her in a slumber It's not a figure of speech when I tell you that I dumped her  No narcissists, sippin' on arsenic Carved carcasses in the garage, don't park in it Hard as finding retarded kids at Harvard It's Wolf Gang barkin' keep you up like car alarms and shit  Over the edge, yeah I had in a potato sack Cause I'm cold as ice like Anasia when she fuckin' Traq I'm the type to put you down and bring myself up So when I rape a bitch I hold her down and get my best nut  The reincarnation of '98 Eminem 60 Crip and Grizzly and some RMK Denim Pay attention I'm stabbin' your women friends, like a gentlemen Then dippin' with the fuckin' pen to go sin again  White girl, you can ask her what the dick be like At monster madness doin' drive by's on a fuckin' fixie bike Fuck it moron, snortin' oxycontin, wearin' cotton Oxymoron like buff faggots playin' sissy dykes  This the shit that get cripple bitches to hop Dirty crack pipes with, bullshit to stop, ho Boss broke, spouse choke, blouse open Sly's little shop of horrors, now showin'  I hate gays, gangbangers and fuckin' jerkers Unless it's gay gangbangers: that's fuckin' jerkers Whoa yo, yo.. no homo, I'm not gay, faggot Odd Future Wolf Gang, Wu-Tang bangin' in your system Probably banging in your sister with my children swimmin' in her system Let me say this shit in slow-mo, homo You don't fuckin' skate, take off that Box Logo",Bastard,2009
9,0.08,0.849,0.071,-0.88,"I don't wanna play you, I just wanna tape you undress And then I'll lay you down and record soft porn If it's romance then it's hardcore, if it's horror Pop the pop corn, the thought to rape you really turns me on  Press my buttons baby, Press my fuckin' buttons baby,  You're my favorite show, any chance I get I try to watch Die hard fan, can't stop with the tapings Sorta like a psycho when I can't stop with the raping Of the VHS especially during sex baby  Press my buttons baby, Press my fuckin' buttons baby,  Ready to watch? I'mma slip it in the tape deck But put it in slowmo, I don't wanna bust the tape yet, press play Now this is what I call an evening A live show, almost equivalent to the screening You're dream movie, I'm the clearest copy Now time for Blow, I'm Johnny deep with the rarest poppy Snort a little, now you're getting groovy Cause I'll kill if I find out you're watching some other movies, bitch  Press my buttons baby, Press my fuckin' buttons baby, STOP!  Danielle, Danielle, yeah you heard about Raquel Well that didn't go well, let me try to make it swell Put the beaver in the mail, we can take it slow like snail Lock my heart up, this is jail, throw away the key  Can I sleep over, and wake up next to you? I wanna feel you near, just let me whisper in your ear, um  We can kick it on the couch, blunt to you, roll it up But I'm on some shrooms if you really wanna feel the room I just wanna kick it, kick it for the rest I skated all day, I just need some rest  Can I sleep over, and wake up next to you? I wanna feel you near, just let me whisper in your ear, um  We can count the stars on the hood in your father's car He's a buster anyway, I can take it him day Look into your eyes I realize that I like you so much That was corny, now I'm horny, can I have a just kiss?  Can I sleep over, and wake up next to you? I wanna feel you near, just let me whisper in your ear, um  We both teenagers with the same mind state How 'bout some ice cream and some South Park for this first date? Your cat is waitin' for that raw fish I can't wait, get it?  Can I sleep over, and wake up next to you? I wanna feel you near, just let me whisper in your ear, um",Bastard,2009
